epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6937,0.9764,4.54945,0.00308,0.01186,0.39549,0.02732,0.01715,0.7833,4.28999,0.00257,0.000509361,0.000509361,0.000509361
2,53.6125,0.90908,4.67092,0.00325,0.01709,0.56858,0.08587,0.05309,0.82811,4.26948,0.00275,0.00104394,0.00104394,0.00104394
3,76.9272,1.07055,4.0651,0.00322,0.01642,0.52063,0.21458,0.12468,0.66261,4.20629,0.00216,0.00155651,0.00155651,0.00155651
4,102.288,1.13644,3.81019,0.00355,0.0138,0.44686,0.23535,0.10987,0.77357,4.05323,0.00278,0.00156798,0.00156798,0.00156798
5,125.861,1.15761,3.45349,0.00422,0.6125,0.21499,0.28514,0.1258,0.854,3.82674,0.00299,0.00153497,0.00153497,0.00153497
6,148.447,1.11463,4.88251,0.00382,0.6125,0.21499,0.28514,0.1258,0.854,3.82674,0.00299,0.00150197,0.00150197,0.00150197
7,171.448,1.15561,3.28572,0.0036,0.50719,0.38822,0.45758,0.21139,1.06811,3.43799,0.00404,0.00146896,0.00146896,0.00146896
8,195.474,1.28738,3.54428,0.00428,0.5157,0.51926,0.57448,0.32501,1.08249,3.04182,0.00423,0.00143595,0.00143595,0.00143595
9,220.164,1.26683,3.25362,0.00414,0.53907,0.77558,0.63059,0.4278,0.90705,2.76397,0.00339,0.00140295,0.00140295,0.00140295
10,250.708,1.02412,3.19846,0.00353,0.53907,0.77558,0.63059,0.4278,0.90705,2.76397,0.00339,0.00136994,0.00136994,0.00136994
11,286.095,1.00607,2.73006,0.00291,0.60888,0.74467,0.68772,0.52824,0.82691,2.61529,0.003,0.00133693,0.00133693,0.00133693
12,316.067,1.02214,2.80528,0.00299,0.54768,0.87595,0.71016,0.5704,0.80544,2.58684,0.00294,0.00130393,0.00130393,0.00130393
13,345.817,1.00637,2.97675,0.00304,0.58523,0.85487,0.7531,0.60364,0.8048,2.48353,0.00317,0.00127092,0.00127092,0.00127092
14,376.452,0.90295,2.97475,0.00324,0.58523,0.85487,0.7531,0.60364,0.8048,2.48353,0.00317,0.00123791,0.00123791,0.00123791
15,403.474,0.93945,2.85434,0.00309,0.68137,0.85923,0.83098,0.66533,0.80068,2.36594,0.00324,0.00120491,0.00120491,0.00120491
16,428.31,0.8876,2.58825,0.00292,0.86585,0.81191,0.90396,0.72831,0.71477,2.20713,0.00264,0.0011719,0.0011719,0.0011719
