epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6247,1.00784,5.05676,0.00263,0.01615,0.43496,0.1328,0.08337,0.64986,3.44185,0.0021,0.00038341,0.00038341,0.00038341
2,30.9107,1.06166,3.55397,0.00281,0.02686,0.77642,0.35038,0.25707,0.81577,2.87562,0.00283,0.000775733,0.000775733,0.000775733
3,36.1009,1.05918,3.01249,0.00275,0.02921,0.90244,0.43616,0.34437,0.71383,2.60576,0.00242,0.00116014,0.00116014,0.00116014
4,41.1171,1.00035,3.12171,0.00282,0.8037,0.37777,0.64492,0.49667,0.78273,2.3572,0.00285,0.00153662,0.00153662,0.00153662
5,45.9912,0.94577,2.96353,0.00266,0.60741,0.64228,0.69179,0.55562,0.77763,1.58137,0.00261,0.00160099,0.00160099,0.00160099
6,50.8835,0.93219,2.83637,0.00265,0.53102,0.68293,0.63429,0.52581,0.72848,1.4011,0.00255,0.00158448,0.00158448,0.00158448
7,55.7552,0.96366,2.37921,0.00276,0.70787,0.74019,0.76466,0.62741,0.71928,1.17566,0.00235,0.00156798,0.00156798,0.00156798
8,60.6395,0.87454,2.11221,0.00246,0.70307,0.77535,0.8091,0.67853,0.68427,1.04151,0.00227,0.00155148,0.00155148,0.00155148
9,65.5591,0.94859,2.14666,0.00256,0.75868,0.77567,0.83229,0.70087,0.67185,0.92876,0.00231,0.00153497,0.00153497,0.00153497
10,70.6961,0.98345,2.08712,0.00262,0.76728,0.76829,0.83832,0.71655,0.65946,0.88523,0.00224,0.00151847,0.00151847,0.00151847
11,75.8383,0.96903,1.92808,0.00259,0.81393,0.73961,0.85651,0.74146,0.62628,0.85721,0.00245,0.00150197,0.00150197,0.00150197
12,80.8257,0.8891,1.76974,0.0026,0.81638,0.79268,0.89559,0.74567,0.72092,0.80291,0.0024,0.00148546,0.00148546,0.00148546
13,85.9156,0.88816,1.62653,0.0023,0.81949,0.81672,0.90086,0.78122,0.58851,0.74694,0.00193,0.00146896,0.00146896,0.00146896
14,91.017,0.90228,1.60567,0.00224,0.77827,0.81316,0.8904,0.76006,0.61096,0.76555,0.00212,0.00145246,0.00145246,0.00145246
15,95.8902,0.86749,1.57757,0.0022,0.87787,0.74079,0.90877,0.78956,0.56565,0.69224,0.00188,0.00143595,0.00143595,0.00143595
16,100.8,0.86107,1.53735,0.00215,0.75969,0.79816,0.86395,0.74223,0.61933,0.73977,0.00212,0.00141945,0.00141945,0.00141945
17,105.683,0.88,1.47241,0.00236,0.77234,0.84117,0.91163,0.77348,0.65333,0.68271,0.00227,0.00140295,0.00140295,0.00140295
